Replace Part *1 PIC32MX220F032B in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with PIC32MX220F032B from AwesomeComponents.SchLib
Replace Part *2 VOLTAGE_REG in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with VOLTAGE_REG from AwesomeComponents.SchLib
Replace Part *3 USB_CON in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with USB_CON from AwesomeComponents.SchLib
Replace Part 1 TSOP38238 in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with TSOP38238 from AwesomeComponents.SchLib
Replace Part C1 Cap in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C2 Cap in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C3 Cap in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C4 Cap in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C5 Cap in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C6 Cap in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C7 Cap in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part D1 LED0 in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part D2 LED0 in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part R1 Res1 in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R2 Res1 in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R3 Res1 in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R? Res1 in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part S1 SW-PB in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with SW-PB from Miscellaneous Devices.IntLib
Replace Part Y1 XTAL in C:\Users\bocal\Desktop\AWESOME_IR\AwesomeSchemas\PCB_Project\AwesomeRemote.SchDoc with XTAL from Miscellaneous Devices.IntLib
